MidwestChildren,MidwestAdults,NortheastChildren,NortheastAdults,SouthChildren,SouthAdults,SouthwestChildren,SouthwestAdults,WestChildren,WestAdults
0.149,0.295,0.133,0.291,0.173,0.361,0.121,0.314,0.154,0.305
0.167,0.316,0.16,0.344,0.202,0.374,0.152,0.317,0.171,0.262
0.153,0.353,0.125,0.238,0.178,0.27,0.188,0.368,0.109,0.238
0.106,0.339,0.132,0.359,0.149,0.331,0.173,0.34,0.111,0.336
0.173,0.252,0.176,0.317,0.238,0.352,,,0.121,0.25
0.099,0.301,0.118,0.323,0.201,0.365,,,0.106,0.283
0.163,0.348,0.137,0.318,0.223,0.408,,,0.129,0.306
0.115,0.341,0.14,0.238,0.161,0.34,,,0.129,0.29
0.131,0.348,0.107,0.271,0.221,0.354,,,0.096,0.292
0.157,0.348,0.145,0.332,0.204,0.365,,,0.119,0.283
0.117,0.33,0.175,0.3,0.13,0.319,,,0.137,0.297
0.142,0.342,0.14,0.266,0.196,0.397,,,,
