"","fips","pct_obese_adults09","pct_obese_adults10","pct_obese_adults13","pct_obese_child08","pct_obese_child11","pch_obese_child_08_11","pct_hspa09","state","county","pct_nhwhite10","pct_nhblack10","pct_hisp10","pct_nhasian10","pct_nhna10","pct_nhpi10","pct_65older10","pct_18younger10","medhhinc10","povrate10","perpov10","childpovrate10","perchldpov10","metro13","poploss00"
"1",1001,34.1,30.5,32.4,12.4,13.5,1.1,19.4,"AL","Autauga",77.246156,17.582599,2.400542,0.855766,0.397647,0.040314,11.995382,26.777959,53049,11.9,0,17.5,0,1,0
"2",1003,25.5,26.6,32.4,10.8,13.3,2.5,19.4,"AL","Baldwin",83.504787,9.308425,4.384824,0.735193,0.628755,0.043343,16.771185,22.987408,47618,13.3,0,20.2,0,1,0
"3",1005,37,37.3,32.4,20.8,18.6,-2.2,19.4,"AL","Barbour",46.753105,46.69119,5.051535,0.3897,0.218524,0.087409,14.236807,21.906982,33074,25.3,1,36.2,1,0,0
"4",1007,34,34.3,32.4,15.4,13.7,-1.7,19.4,"AL","Bibb",75.020729,21.924504,1.771765,0.096007,0.279293,0.030548,12.68165,22.696923,35472,20.9,0,28.6,1,1,0
"5",1009,32,30.4,32.4,19.9,18.5,-1.4,19.4,"AL","Blount",88.887338,1.26304,8.0702,0.200621,0.497191,0.031402,14.722096,24.608353,42906,16.5,0,24.1,0,1,0
"6",1011,39.4,42.1,32.4,15.6,17.6,2,19.4,"AL","Bullock",21.916804,69.974345,7.119296,0.183251,0.183251,0.03665,13.459776,22.264981,25969,31.1,1,40.3,1,0,0
"7",1013,40.8,38.3,32.4,7.7,14.4,6.7,19.4,"AL","Butler",54.060247,43.189956,0.911825,0.830668,0.281663,0.033418,16.656323,24.137108,29500,28.1,1,39.6,1,0,0
"8",1015,33.6,33.2,32.4,15.1,13.1,-2,19.4,"AL","Calhoun",73.613501,20.390143,3.283237,0.699997,0.404817,0.079277,14.328847,22.877239,37916,23.5,0,31.5,0,1,1
"9",1017,35.2,35.4,32.4,7,11.7,4.7,19.4,"AL","Chambers",58.141166,38.597107,1.566564,0.485167,0.166594,0.020459,16.676896,22.513517,30061,28.5,0,43.5,1,0,1
"10",1019,30.6,31.4,32.4,14.3,15.4,1.1,19.4,"AL","Cherokee",92.07357,4.640425,1.23129,0.188541,0.469429,0.003848,17.896033,21.416753,34410,21.2,0,33.1,0,0,0
"11",1021,35.3,38.3,32.4,14.2,17.4,3.2,19.4,"AL","Chilton",81.101208,9.557088,7.836308,0.286415,0.307037,0.025205,13.566895,25.112847,38553,20.4,0,32,0,1,0
